i,j,distance,min,max
351,1008,27623,27623,27627
351,1041,27623,27623,27627
351,1168,27623,27623,27627
351,1195,27623,27623,27627
351,1204,27622,27622,27627
351,1053,27621,27621,27627
351,1027,27620,27620,27627
351,1037,27620,27620,27627
351,1318,27619,27619,27627
351,1410,27620,27618,27627
351,1338,27617,27617,27627
351,1529,27617,27617,27627
351,1702,27617,27617,27627
351,1039,27613,27613,27627
351,1145,27613,27613,27627
351,1532,27613,27613,27627
351,1531,27611,27611,27627
351,960,27608,27608,27627
351,1710,27607,27607,27627
351,2148,27605,27605,27627
351,1442,27605,27604,27627
351,1090,27602,27602,27627
351,1003,27601,27601,27627
351,1038,27600,27600,27627
351,1056,27600,27600,27627
351,1530,27600,27600,27627
351,1207,27599,27599,27627
351,1424,27599,27599,27627
351,1080,27597,27597,27627
351,1256,27594,27594,27627
351,1057,27593,27593,27627
351,937,27591,27591,27627
351,952,27590,27590,27627
351,1311,27590,27590,27627
351,1460,27590,27590,27627
351,1055,27589,27589,27627
351,2578,27589,27589,27627
351,531,27588,27588,27627
351,955,27588,27588,27627
351,2726,27588,27588,27627
351,1028,27587,27587,27627
351,1943,27587,27587,27627
351,970,27587,27586,27627
351,1198,27586,27586,27627
351,1235,27586,27586,27627
351,1097,27585,27585,27627
351,1807,27585,27585,27627
351,1036,27585,27583,27627
351,1403,27581,27581,27627
351,1263,27580,27580,27627
351,1024,27580,27579,27627
351,1076,27579,27579,27627
351,1497,27578,27578,27627
351,1312,27577,27577,27627
351,1307,27577,27576,27627
351,621,27578,27575,27627
351,1363,27574,27574,27627
351,3045,27574,27574,27627
351,1261,27573,27573,27627
16,351,27573,27572,27627
351,1264,27572,27572,27627
351,1025,27575,27571,27627
351,2093,27571,27571,27627
351,1262,27570,27570,27627
351,1314,27571,27570,27627
351,1940,27569,27569,27627
351,1374,27568,27568,27627
351,2002,27568,27568,27627
351,2950,27568,27568,27627
351,998,27565,27565,27627
351,1206,27565,27565,27627
351,2202,27565,27565,27627
351,3028,27566,27565,27627
351,2585,27564,27564,27627
351,972,27563,27563,27627
351,1355,27563,27563,27627
351,1000,27562,27562,27627
351,1132,27562,27562,27627
351,1137,27562,27562,27627
351,1234,27562,27562,27627
351,925,27561,27561,27627
351,2139,27561,27561,27627
351,2995,27561,27561,27627
351,380,27559,27559,27627
351,1613,27557,27557,27627
351,2252,27557,27557,27627
351,1105,27559,27555,27627
351,1122,27560,27555,27627
351,1131,27554,27554,27627
351,1548,27554,27554,27627
351,2196,27554,27554,27627
351,2246,27553,27553,27627
351,3070,27552,27552,27627
351,1675,27550,27550,27627
351,2712,27552,27550,27627
351,641,27547,27547,27627
351,2497,27548,27547,27627
351,956,27546,27546,27627
351,1639,27546,27546,27627
351,1205,27560,27545,27627
351,1407,27545,27545,27627
351,2447,-1,27545,27627
351,1059,-1,27543,27627
351,1834,-1,27543,27627
351,1293,-1,27542,27627
351,1401,-1,27542,27627
351,1199,-1,27540,27627
351,1226,-1,27540,27627
351,2116,-1,27540,27627
351,2421,-1,27539,27627
351,2227,-1,27538,27627
351,3073,-1,27538,27627
351,1141,-1,27537,27627
351,1578,-1,27537,27627
351,1005,-1,27536,27627
351,1341,-1,27535,27627
351,1186,-1,27533,27627
351,1974,-1,27532,27627
351,2147,-1,27531,27627
351,2455,-1,27531,27627
351,992,-1,27529,27627
351,1208,-1,27529,27627
351,2249,-1,27527,27627
351,642,-1,27526,27627
351,932,-1,27526,27627
351,993,-1,27526,27627
351,1202,-1,27526,27627
351,1539,-1,27526,27627
351,2656,-1,27526,27627
351,1611,-1,27525,27627
351,1432,-1,27524,27627
351,1192,-1,27523,27627
351,2527,-1,27523,27627
351,1088,-1,27522,27627
351,1760,-1,27522,27627
351,2441,-1,27522,27627
324,351,-1,27520,27627
351,1182,-1,27520,27627
351,1269,-1,27520,27627
351,2958,-1,27520,27627
351,1383,-1,27519,27627
351,1909,-1,27517,27627
351,2302,-1,27516,27627
351,1583,-1,27515,27627
351,1660,-1,27513,27627
351,968,-1,27512,27627
351,1048,-1,27512,27627
351,2706,-1,27512,27627
351,2244,-1,27511,27627
351,2963,-1,27511,27627
351,1670,-1,27510,27627
351,1908,-1,27509,27627
351,2016,-1,27509,27627
351,2180,-1,27509,27627
351,1631,-1,27508,27627
351,2064,-1,27508,27627
351,2848,-1,27508,27627
351,2843,-1,27507,27627
351,1597,-1,27506,27627
351,983,-1,27505,27627
351,1070,-1,27504,27627
351,1282,-1,27504,27627
351,1553,-1,27504,27627
351,2989,-1,27504,27627
351,1276,-1,27503,27627
351,1420,-1,27499,27627
351,1644,-1,27499,27627
351,1960,-1,27499,27627
351,2122,-1,27499,27627
351,1175,-1,27498,27627
351,962,-1,27497,27627
351,1174,-1,27496,27627
351,999,-1,27495,27627
351,1248,-1,27495,27627
351,2402,-1,27495,27627
351,1381,-1,27494,27627
106,351,-1,27493,27627
351,1993,-1,27493,27627
110,351,-1,27492,27627
351,1006,-1,27491,27627
351,1298,-1,27490,27627
351,2321,-1,27490,27627
351,2825,-1,27488,27627
351,590,-1,27487,27627
351,1030,-1,27487,27627
351,2721,-1,27487,27627
351,1812,-1,27486,27627
351,1863,-1,27486,27627
351,1158,-1,27485,27627
351,1011,-1,27482,27627
351,1259,-1,27482,27627
351,2537,-1,27482,27627
351,1633,-1,27481,27627
351,2670,-1,27481,27627
351,1882,-1,27480,27627
351,1015,-1,27479,27627
351,1183,-1,27479,27627
351,2851,-1,27479,27627
351,1243,-1,27478,27627
351,1515,-1,27478,27627
351,2622,-1,27477,27627
351,2937,-1,27477,27627
351,3063,-1,27477,27627
351,2691,-1,27476,27627
351,2375,-1,27474,27627
351,1643,-1,27473,27627
351,528,-1,27472,27627
351,2123,-1,27472,27627
351,2895,-1,27471,27627
351,1947,-1,27469,27627
351,2663,-1,27468,27627
351,2801,-1,27468,27627
351,1267,-1,27467,27627
351,1964,-1,27467,27627
351,1440,-1,27466,27627
351,1387,-1,27465,27627
351,2829,-1,27464,27627
351,1550,-1,27463,27627
351,2053,-1,27462,27627
351,2286,-1,27462,27627
351,2390,-1,27462,27627
351,1876,-1,27461,27627
351,2412,-1,27461,27627
351,1136,-1,27459,27627
351,1977,-1,27459,27627
351,2429,-1,27459,27627
351,1134,-1,27458,27627
