i,j,distance,min,max
1008,1041,4,0,4
1008,1168,0,0,4
1008,1195,0,0,4
1041,1168,4,0,4
1041,1195,4,0,4
1168,1195,0,0,4
1027,1037,7,0,7
1338,1529,2,0,10
1338,1702,10,0,10
1529,1702,10,0,10
1039,1145,14,0,14
1039,1532,14,0,14
1145,1532,14,0,14
1038,1056,23,0,27
1038,1530,25,0,27
1056,1530,22,0,27
1207,1424,21,0,28
952,1311,31,0,37
952,1460,27,0,37
1311,1460,25,0,37
1055,2578,34,0,38
531,955,33,0,39
531,2726,33,0,39
955,2726,33,0,39
1028,1943,31,0,40
970,1198,36,0,41
970,1235,37,0,41
1198,1235,38,0,41
1097,1807,36,0,42
1024,1076,45,0,48
1363,3045,47,0,53
16,1264,46,0,55
1025,2093,54,0,56
1262,1314,48,0,57
1374,2002,53,0,59
1374,2950,53,0,59
2002,2950,50,0,59
998,1206,48,0,62
998,2202,55,0,62
998,3028,51,0,62
1206,2202,51,0,62
1206,3028,49,0,62
2202,3028,55,0,62
972,1355,51,0,64
1000,1132,56,0,65
1000,1137,54,0,65
1000,1234,54,0,65
1132,1137,57,0,65
1132,1234,55,0,65
1137,1234,55,0,65
925,2139,54,0,66
925,2995,57,0,66
2139,2995,59,0,66
1613,2252,58,0,70
1105,1122,61,0,72
1131,1548,64,0,73
1131,2196,61,0,73
1548,2196,61,0,73
1675,2712,60,0,77
641,2497,67,0,80
956,1639,71,0,81
1205,1407,78,0,82
1205,2447,76,0,82
1407,2447,72,0,82
1059,1834,72,0,84
1293,1401,63,0,85
1199,1226,75,0,87
1199,2116,70,0,87
1226,2116,72,0,87
2227,3073,77,0,89
1141,1578,75,0,90
2147,2455,79,0,96
992,1208,88,0,98
642,932,87,0,101
642,993,94,0,101
642,1202,87,0,101
642,1539,81,0,101
642,2656,83,0,101
932,993,84,0,101
932,1202,85,0,101
932,1539,89,0,101
932,2656,86,0,101
993,1202,84,0,101
993,1539,91,0,101
993,2656,93,0,101
1202,1539,84,0,101
1202,2656,84,0,101
1539,2656,83,0,101
1192,2527,89,0,104
1088,1760,85,0,105
1088,2441,86,0,105
1760,2441,88,0,105
324,1182,90,0,107
324,1269,88,0,107
324,2958,89,0,107
1182,1269,89,0,107
1182,2958,87,0,107
1269,2958,89,0,107
968,1048,101,0,115
968,2706,100,0,115
1048,2706,97,0,115
2244,2963,99,0,116
1908,2016,97,0,118
1908,2180,101,0,118
2016,2180,99,0,118
1631,2064,92,0,119
1631,2848,96,0,119
2064,2848,93,0,119
1070,1282,99,0,123
1070,1553,100,0,123
1070,2989,101,0,123
1282,1553,100,0,123
1282,2989,105,0,123
1553,2989,100,0,123
1420,1644,105,0,128
1420,1960,106,0,128
1420,2122,104,0,128
1644,1960,104,0,128
1644,2122,95,0,128
1960,2122,103,0,128
999,1248,108,0,132
999,2402,100,0,132
1248,2402,112,0,132
106,1993,109,0,134
1298,2321,116,0,137
590,1030,110,0,140
590,2721,107,0,140
1030,2721,116,0,140
1812,1863,111,0,141
1011,1259,123,0,145
1011,2537,123,0,145
1259,2537,121,0,145
1633,2670,122,0,146
1015,1183,118,0,148
1015,2851,116,0,148
1183,2851,122,0,148
1243,1515,125,0,149
2622,2937,119,0,150
2622,3063,126,0,150
2937,3063,120,0,150
528,2123,124,0,155
2663,2801,120,0,159
1267,1964,124,0,160
2053,2286,134,0,165
2053,2390,135,0,165
2286,2390,135,0,165
1876,2412,137,0,166
1136,1977,138,0,168
1136,2429,142,0,168
1977,2429,139,0,168
1134,1766,142,0,169
1134,2173,135,0,169
1766,2173,143,0,169
948,2879,135,0,170
1945,2722,145,0,175
2433,3025,140,0,177
2047,2984,146,0,178
1918,2301,146,0,181
300,2945,144,0,182
99,1079,139,0,184
99,1886,147,0,184
99,2052,150,0,184
1079,1886,150,0,184
1079,2052,144,0,184
1886,2052,146,0,184
1162,1406,141,0,186
1162,2470,153,0,186
1406,2470,148,0,186
2177,2247,153,0,187
2177,2378,155,0,187
2247,2378,152,0,187
1503,1752,157,0,189
1321,1484,156,0,194
1321,2437,155,0,194
1484,2437,152,0,194
1040,1054,182,0,197
1774,3005,162,0,199
1098,2593,168,0,201
994,1191,165,0,202
994,1840,168,0,202
1191,1840,167,0,202
1595,2210,155,0,203
1595,2349,163,0,203
2210,2349,162,0,203
1144,1928,169,0,206
2235,2835,171,0,207
1061,2906,170,0,212
112,995,178,0,216
112,1524,178,0,216
112,1869,168,0,216
995,1524,184,0,216
995,1869,180,0,216
1524,1869,171,0,216
1173,1799,172,0,220
1988,2515,197,0,227
1988,2523,182,0,227
2515,2523,196,0,227
77,2597,189,0,231
934,2027,184,0,235
1062,1099,215,0,236
1062,1143,191,0,236
1062,1881,191,0,236
1099,1143,214,0,236
1099,1881,212,0,236
1143,1881,188,0,236
1058,2481,199,0,237
1001,1627,192,0,240
1001,2326,195,0,240
1627,2326,189,0,240
1091,1769,203,0,247
145,1155,190,0,251
145,1722,199,0,251
145,2435,199,0,251
1155,1722,201,0,251
1155,2435,200,0,251
1722,2435,203,0,251
53,1949,210,0,254
959,2192,211,0,258
1002,1063,211,0,260
1002,2146,212,0,260
1002,2890,215,0,260
1063,2146,215,0,260
1063,2890,207,0,260
2146,2890,211,0,260
1083,1792,215,0,264
1083,2985,214,0,264
1792,2985,214,0,264
1418,2822,217,0,265
150,1116,221,0,267
150,3069,212,0,267
1116,3069,210,0,267
1133,1536,215,0,270
698,1072,227,0,271
996,1854,217,0,272
996,2181,223,0,272
996,2238,213,0,272
1854,2181,222,0,272
1854,2238,220,0,272
2181,2238,219,0,272
1561,1692,212,0,275
1561,1920,216,0,275
1561,2383,224,0,275
1692,1920,217,0,275
1692,2383,215,0,275
1920,2383,222,0,275
2388,2927,223,0,277
12,2182,225,0,282
1065,1228,235,0,285
1244,1327,230,0,286
1244,1392,224,0,286
1244,2794,225,0,286
1327,1392,226,0,286
1327,2794,225,0,286
1392,2794,225,0,286
1149,2266,234,0,287
1149,2355,228,0,287
2266,2355,225,0,287
1357,2563,222,0,288
1022,2103,232,0,290
86,1826,237,0,291
2309,2392,240,0,296
85,1707,249,0,301
336,2380,253,0,304
35,2174,254,0,305
35,2255,247,0,305
2174,2255,253,0,305
1296,2902,261,0,306
1905,2703,236,0,308
339,1221,245,0,311
339,1339,251,0,311
1221,1339,253,0,311
366,924,255,0,315
366,1216,255,0,315
366,2673,253,0,315
924,1216,256,0,315
924,2673,254,0,315
1216,2673,257,0,315
93,1831,266,0,327
93,2312,269,0,327
1831,2312,257,0,327
1151,2106,279,0,333
346,2797,270,0,335
1865,1899,266,0,339
1225,1565,268,0,341
1010,1159,274,0,348
1010,2686,286,0,348
1159,2686,276,0,348
1910,2096,283,0,352
18,913,286,0,354
18,1785,295,0,354
18,1861,286,0,354
18,1996,286,0,354
18,2692,285,0,354
913,1785,283,0,354
913,1861,285,0,354
913,1996,281,0,354
913,2692,281,0,354
1785,1861,281,0,354
1785,1996,284,0,354
1785,2692,289,0,354
1861,1996,282,0,354
1861,2692,276,0,354
1996,2692,280,0,354
740,2191,281,0,357
740,2926,285,0,357
2191,2926,288,0,357
419,2079,286,0,358
971,1819,288,0,359
1147,1308,283,0,360
1147,1853,289,0,360
1147,2001,288,0,360
1308,1853,295,0,360
1308,2001,286,0,360
1853,2001,293,0,360
938,984,285,0,361
938,2676,292,0,361
984,2676,284,0,361
94,2337,294,0,362
87,129,290,0,363
87,2160,292,0,363
87,2425,277,0,363
87,3053,283,0,363
129,2160,289,0,363
129,2425,291,0,363
129,3053,299,0,363
2160,2425,282,0,363
2160,3053,292,0,363
2425,3053,287,0,363
325,1034,293,0,365
552,2144,293,0,367
1622,2836,305,0,369
2126,2710,297,0,370
1021,1870,294,0,371
1200,3012,293,0,372
1200,3048,305,0,372
3012,3048,293,0,372
1325,2132,304,0,373
179,1852,294,0,374
179,2152,297,0,374
179,2679,302,0,374
1852,2152,304,0,374
1852,2679,293,0,374
2152,2679,307,0,374
1694,1976,294,0,376
1694,3084,302,0,376
1976,3084,300,0,376
2063,2114,302,0,378
2063,3055,290,0,378
2114,3055,311,0,378
50,1400,306,0,379
488,791,295,0,385
488,2386,309,0,385
488,2924,307,0,385
791,2386,305,0,385
791,2924,305,0,385
2386,2924,302,0,385
1417,3065,310,0,391
2353,2759,314,0,392
1377,2463,321,0,394
2057,2630,332,0,402
98,420,321,0,404
98,2017,343,0,404
420,2017,344,0,404
66,1272,332,0,406
66,2143,330,0,406
1272,2143,323,0,406
1249,2561,321,0,409
1249,2917,327,0,409
2561,2917,322,0,409
1288,2065,330,0,410
40,2440,332,0,412
1302,1488,323,0,414
1120,2172,338,0,416
28,3067,345,0,423
526,3064,338,0,424
1903,2074,343,0,425
1903,2781,329,0,425
2074,2781,335,0,425
109,1827,353,0,429
974,2751,350,0,431
1220,2462,352,0,434
1835,2472,346,0,435
513,3051,352,0,441
1042,1135,349,0,443
101,2830,359,0,445
1089,2650,362,0,451
595,1402,364,0,453
1805,1914,363,0,455
1805,2404,367,0,455
1914,2404,368,0,455
1862,2171,362,0,457
479,480,0,0,461
479,2005,358,0,461
480,2005,358,0,461
997,2199,368,0,462
104,1340,367,0,463
104,1352,367,0,463
104,1367,361,0,463
